ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
355,0,0,123,0,-123
356,0,0,5,0,-5
357,0,0,23,0,-23
358,1,1,782,1644,862
359,1,1,748,1400,652
360,0,0,47,0,-47
361,1,0,113,0,-113
362,0,0,32,0,-32
363,0,0,9,0,-9
364,0,0,26,0,-26
365,1,1,911,2360,1449
366,1,0,131,0,-131
367,1,0,65,0,-65
368,0,0,22,0,-22
369,0,0,0,0,0
370,0,0,18,0,-18
371,1,0,87,0,-87
372,0,0,74,0,-74
373,1,1,76,1431,1355
374,0,0,32,0,-32
375,1,0,11,0,-11
376,1,0,4,0,-4
377,0,0,36,0,-36
378,1,1,472,1906,1434
379,0,0,30,0,-30
380,1,1,608,1570,962
381,0,0,112,0,-112
382,0,0,4,0,-4
383,1,1,246,1708,1462
384,0,0,2,0,-2
385,1,1,37,1260,1223
386,0,0,52,0,-52
387,1,1,428,1831,1403
388,0,0,16,0,-16
389,0,0,53,0,-53
390,1,1,161,1517,1356
391,0,0,36,0,-36
392,1,0,51,0,-51
393,1,0,56,0,-56
394,1,0,11,0,-11
395,1,1,430,2182,1752
396,1,0,30,0,-30
397,0,0,60,0,-60
398,0,0,20,0,-20
399,0,0,46,0,-46
400,1,1,104,1522,1418
401,0,0,80,0,-80
402,1,0,13,0,-13
403,1,1,64,1387,1323
404,1,1,871,1829,958
405,1,0,2,0,-2
406,0,0,0,0,0
407,1,0,64,0,-64
408,0,0,5,0,-5
409,1,1,959,1368,409
410,1,1,617,1956,1339
411,1,0,14,0,-14
412,1,1,182,1399,1217
413,1,0,38,0,-38
414,1,1,66,1272,1206
415,1,0,37,0,-37
416,1,1,307,1530,1223
417,1,1,145,1582,1437
418,1,1,84,1439,1355
419,0,0,67,0,-67
420,0,0,38,0,-38
421,0,0,29,0,-29
422,1,1,409,1773,1364
423,1,1,816,1258,442
424,1,1,1235,1902,667
425,0,0,127,0,-127
426,1,0,30,0,-30
427,0,0,43,0,-43
428,1,0,8,0,-8
429,1,0,0,0,0
