ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
316,1,0,0,0,0
317,0,0,15,0,-15
318,1,1,318,1390,1072
319,1,0,37,0,-37
320,0,0,70,0,-70
321,0,0,105,0,-105
322,1,1,330,2433,2103
323,1,0,73,0,-73
324,0,0,137,0,-137
325,1,1,893,1365,472
326,1,0,35,0,-35
327,1,0,65,0,-65
328,0,0,35,0,-35
329,1,1,848,1565,717
330,1,1,112,1218,1106
331,0,0,81,0,-81
332,0,0,13,0,-13
333,1,1,928,1564,636
334,1,1,755,1314,559
335,1,1,881,1276,395
336,1,0,0,0,0
337,0,0,36,0,-36
338,0,0,19,0,-19
339,0,0,8,0,-8
340,0,0,7,0,-7
341,1,0,26,0,-26
342,1,1,294,1635,1341
343,1,1,348,1438,1090
344,0,0,52,0,-52
345,1,0,22,0,-22
346,1,0,148,0,-148
347,1,0,38,0,-38
348,0,0,23,0,-23
349,1,1,378,1552,1174
350,1,0,10,0,-10
351,1,0,14,0,-14
352,1,0,12,0,-12
353,0,0,60,0,-60
354,0,0,75,0,-75
355,1,0,10,0,-10
356,0,0,9,0,-9
357,0,0,50,0,-50
358,1,1,373,1607,1234
359,0,0,21,0,-21
360,1,1,32,1331,1299
361,0,0,14,0,-14
362,0,0,69,0,-69
363,0,0,59,0,-59
364,1,1,453,1344,891
365,1,0,12,0,-12
366,1,1,1230,2329,1099
367,1,1,1116,1586,470
368,1,1,679,1253,574
369,0,0,75,0,-75
370,1,1,227,1525,1298
371,0,0,2,0,-2
372,1,1,632,1261,629
373,1,0,46,0,-46
374,0,0,41,0,-41
375,0,0,85,0,-85
376,1,0,28,0,-28
377,0,0,20,0,-20
378,1,0,14,0,-14
379,1,1,1295,1291,-4
380,0,0,100,0,-100
381,1,0,37,0,-37
382,0,0,45,0,-45
383,1,1,111,1756,1645
384,1,0,37,0,-37
385,1,1,522,2332,1810
386,0,0,43,0,-43
387,1,0,0,0,0
388,1,1,333,1209,876
389,0,0,81,0,-81
390,1,1,276,1983,1707
391,1,1,156,1319,1163
392,0,0,138,0,-138
393,1,0,26,0,-26
394,1,0,41,0,-41
395,1,0,17,0,-17
396,1,0,0,0,0
397,0,0,145,0,-145
398,0,0,5,0,-5
399,1,1,63,1303,1240
400,0,0,181,0,-181
401,1,1,435,2595,2160
402,0,0,31,0,-31
403,0,0,141,0,-141
404,1,0,101,0,-101
405,0,0,218,0,-218
406,1,0,54,0,-54
407,0,0,60,0,-60
408,0,0,31,0,-31
409,0,0,19,0,-19
410,1,1,559,1201,642
411,1,1,213,1520,1307
412,1,1,264,1494,1230
413,1,0,0,0,0
414,1,0,164,0,-164
415,0,0,106,0,-106
416,1,1,187,2339,2152
417,1,0,9,0,-9
418,1,0,46,0,-46
419,1,1,403,1285,882
420,0,0,55,0,-55
421,0,0,14,0,-14
422,0,0,55,0,-55
423,1,0,27,0,-27
424,0,0,5,0,-5
425,1,1,63,1224,1161
426,0,0,17,0,-17
427,1,1,679,1894,1215
428,1,1,794,1484,690
429,1,1,311,1239,928
430,1,1,624,1401,777
431,1,0,28,0,-28
432,0,0,121,0,-121
433,1,0,1,0,-1
434,1,1,826,1365,539
435,1,1,719,1550,831
436,0,0,80,0,-80
437,0,0,122,0,-122
438,0,0,92,0,-92
439,0,0,32,0,-32
440,1,1,592,1256,664
441,1,0,44,0,-44
442,1,1,1887,1450,-437
443,1,1,359,1281,922
444,1,0,6,0,-6
445,1,1,370,1734,1364
446,0,0,4,0,-4
447,1,1,448,2073,1625
448,1,1,224,1804,1580
449,0,0,28,0,-28
450,0,0,153,0,-153
451,1,0,200,0,-200
452,0,0,27,0,-27
453,0,0,82,0,-82
454,1,1,273,1358,1085
455,1,1,707,1260,553
456,1,0,314,0,-314
457,1,1,399,1691,1292
458,1,0,89,0,-89
459,1,0,17,0,-17
460,0,0,13,0,-13
461,0,0,21,0,-21
462,1,1,267,1670,1403
463,1,0,16,0,-16
464,0,0,79,0,-79
465,1,0,42,0,-42
466,0,0,164,0,-164
467,1,1,133,1416,1283
468,0,0,37,0,-37
469,0,0,16,0,-16
470,1,0,33,0,-33
471,0,0,97,0,-97
472,0,0,9,0,-9
473,0,0,90,0,-90
474,1,1,94,1206,1112
475,1,0,77,0,-77
476,0,0,2,0,-2
477,1,1,1031,1653,622
478,0,0,65,0,-65
479,0,0,74,0,-74
480,1,0,151,0,-151
481,1,1,96,1861,1765
482,1,0,9,0,-9
483,1,0,51,0,-51
484,0,0,62,0,-62
485,0,0,10,0,-10
486,1,1,1171,1318,147
487,0,0,188,0,-188
488,0,0,0,0,0
489,1,1,1273,2025,752
490,1,0,29,0,-29
491,1,1,908,1265,357
492,1,1,1372,1279,-93
493,0,0,29,0,-29
494,0,0,35,0,-35
495,1,0,75,0,-75
496,1,0,44,0,-44
497,0,0,21,0,-21
498,1,1,960,1232,272
499,1,0,15,0,-15
500,1,0,19,0,-19
501,1,0,254,0,-254
502,1,1,291,1208,917
503,0,0,308,0,-308
504,1,0,100,0,-100
505,1,0,152,0,-152
506,1,0,145,0,-145
507,0,0,130,0,-130
508,0,0,36,0,-36
509,1,0,66,0,-66
510,1,1,93,2651,2558
511,1,0,31,0,-31
512,0,0,11,0,-11
513,0,0,6,0,-6
514,0,0,137,0,-137
515,0,0,64,0,-64
516,1,0,2,0,-2
517,1,0,21,0,-21
518,1,1,615,1612,997
519,1,1,343,1950,1607
520,1,0,61,0,-61
521,1,0,71,0,-71
522,0,0,5,0,-5
523,0,0,46,0,-46
524,0,0,131,0,-131
525,1,1,616,1337,721
526,0,0,34,0,-34
527,0,0,24,0,-24
528,0,0,18,0,-18
529,1,1,950,1490,540
530,0,0,0,0,0
531,0,0,23,0,-23
532,0,0,46,0,-46
533,0,0,62,0,-62
534,1,0,10,0,-10
535,1,1,1010,1368,358
536,1,1,611,1212,601
537,1,0,114,0,-114
538,0,0,15,0,-15
539,1,1,588,1596,1008
540,0,0,32,0,-32
541,1,1,218,2114,1896
542,0,0,85,0,-85
543,0,0,6,0,-6
544,1,1,187,1392,1205
545,0,0,7,0,-7
546,1,1,760,1678,918
547,0,0,76,0,-76
548,0,0,30,0,-30
549,0,0,98,0,-98
550,1,0,18,0,-18
551,1,1,554,1318,764
552,0,0,141,0,-141
553,1,1,2176,1757,-419
554,1,0,31,0,-31
555,0,0,88,0,-88
556,1,1,292,1322,1030
557,1,1,1361,1638,277
558,1,0,18,0,-18
559,0,0,21,0,-21
560,1,1,59,2060,2001
561,0,0,56,0,-56
562,0,0,29,0,-29
563,1,0,1,0,-1
564,1,1,203,1327,1124
565,0,0,178,0,-178
566,1,1,614,1337,723
567,1,0,40,0,-40
568,1,1,468,1323,855
569,1,0,137,0,-137
570,0,0,155,0,-155
571,1,1,866,2255,1389
572,1,1,341,1823,1482
573,0,0,184,0,-184
574,1,0,12,0,-12
575,0,0,57,0,-57
576,1,0,56,0,-56
577,0,0,30,0,-30
578,1,0,68,0,-68
579,0,0,17,0,-17
580,1,1,304,1213,909
581,1,0,153,0,-153
582,0,0,133,0,-133
583,0,0,23,0,-23
584,0,0,0,0,0
585,1,0,15,0,-15
586,1,1,846,1481,635
587,0,0,37,0,-37
588,1,1,135,1335,1200
589,1,1,616,1303,687
590,1,1,489,1234,745
591,1,1,819,1365,546
592,1,0,24,0,-24
593,0,0,152,0,-152
594,0,0,110,0,-110
595,1,1,59,1493,1434
596,1,1,407,1224,817
597,1,0,0,0,0
598,0,0,19,0,-19
599,1,1,330,1249,919
600,1,1,451,1892,1441
601,0,0,17,0,-17
602,0,0,14,0,-14
603,1,0,13,0,-13
604,1,1,82,1429,1347
605,1,0,60,0,-60
606,1,0,7,0,-7
